               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044888,             0.13015,           0.0046973,             0.37975,              0.3352,             0.29922,             0.13538,            0.054898,             0.19996,            0.016479,           0.0082675,           0.0082675,           0.0082675
                  37,            0.044929,             0.12987,           0.0046712,              0.3836,             0.33296,             0.30048,             0.13596,            0.054853,             0.19974,            0.016428,            0.008218,            0.008218,            0.008218
                  38,            0.044816,              0.1305,           0.0046522,             0.38562,             0.33379,             0.30175,             0.13637,            0.054833,             0.19942,             0.01644,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044827,             0.13026,           0.0046518,             0.38606,              0.3348,             0.30254,             0.13659,            0.054814,              0.1988,             0.01642,            0.008119,            0.008119,            0.008119
                  40,            0.044615,              0.1301,           0.0046216,              0.3863,             0.33426,             0.30285,             0.13655,            0.054857,             0.19865,             0.01647,           0.0080695,           0.0080695,           0.0080695
                  41,            0.044602,             0.12937,           0.0046298,             0.38585,             0.33542,             0.30332,             0.13678,            0.054825,              0.1984,             0.01648,             0.00802,             0.00802,             0.00802
                  42,            0.044541,             0.12936,           0.0046091,             0.38525,             0.33583,             0.30333,             0.13687,            0.054802,             0.19849,            0.016477,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044657,             0.12972,           0.0045453,             0.38697,             0.33413,             0.30337,              0.1368,            0.054768,             0.19855,              0.0165,            0.007921,            0.007921,            0.007921
                  44,            0.044567,             0.12929,           0.0045903,             0.38656,              0.3348,             0.30335,             0.13689,            0.054752,             0.19872,              0.0165,           0.0078715,           0.0078715,           0.0078715
                  45,            0.044325,             0.12864,           0.0045566,             0.38798,             0.33427,             0.30361,             0.13695,            0.054735,             0.19874,            0.016495,            0.007822,            0.007822,            0.007822
                  46,            0.044345,             0.12904,           0.0045768,             0.38522,             0.33619,             0.30372,             0.13706,            0.054737,             0.19876,            0.016496,           0.0077725,           0.0077725,           0.0077725
                  47,            0.044411,             0.12881,           0.0045276,             0.38559,             0.33659,              0.3039,             0.13714,            0.054721,             0.19872,            0.016518,            0.007723,            0.007723,            0.007723
                  48,            0.044303,              0.1286,           0.0045119,             0.38657,             0.33602,             0.30412,              0.1373,            0.054693,             0.19858,            0.016544,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044243,             0.12876,           0.0045199,             0.38554,             0.33575,             0.30367,             0.13731,            0.054685,             0.19873,            0.016569,            0.007624,            0.007624,            0.007624
