               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039605,             0.11684,           0.0034686,              0.4646,             0.36099,             0.34953,             0.16117,            0.052463,             0.21029,            0.016891,           0.0082675,           0.0082675,           0.0082675
                  37,            0.039556,             0.11652,           0.0034553,             0.46519,             0.36204,             0.35075,             0.16174,            0.052504,             0.21056,            0.016882,            0.008218,            0.008218,            0.008218
                  38,            0.039494,             0.11698,           0.0034485,               0.458,             0.36738,             0.35126,             0.16185,            0.052545,              0.2109,            0.016871,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039478,              0.1168,           0.0034574,             0.45326,             0.37254,             0.35156,             0.16194,            0.052566,             0.21087,            0.016871,            0.008119,            0.008119,            0.008119
                  40,            0.039261,             0.11665,            0.003424,             0.45697,             0.37068,             0.35185,             0.16208,            0.052601,             0.21117,            0.016898,           0.0080695,           0.0080695,           0.0080695
                  41,            0.039252,             0.11588,           0.0034267,             0.45832,             0.37124,             0.35183,              0.1623,            0.052596,             0.21143,            0.016945,             0.00802,             0.00802,             0.00802
                  42,            0.039171,             0.11586,           0.0034222,             0.45908,             0.37069,              0.3518,             0.16222,            0.052642,             0.21149,            0.016968,           0.0079705,           0.0079705,           0.0079705
                  43,            0.039254,             0.11605,           0.0033789,             0.45938,             0.37169,             0.35226,             0.16242,            0.052643,             0.21134,            0.016966,            0.007921,            0.007921,            0.007921
                  44,            0.039183,             0.11568,            0.003405,             0.45909,             0.37226,             0.35236,             0.16237,            0.052666,             0.21126,            0.016987,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038912,             0.11495,           0.0033599,               0.463,             0.36968,             0.35246,             0.16246,            0.052663,             0.21134,               0.017,            0.007822,            0.007822,            0.007822
                  46,            0.038923,             0.11531,           0.0034019,             0.46571,             0.36781,             0.35245,             0.16259,            0.052669,             0.21163,            0.016976,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038978,             0.11502,           0.0033669,             0.46683,             0.36549,             0.35216,             0.16238,            0.052671,             0.21196,             0.01696,            0.007723,            0.007723,            0.007723
                  48,            0.038941,             0.11499,           0.0033393,             0.46268,              0.3681,             0.35207,             0.16242,            0.052677,             0.21217,            0.016934,           0.0076735,           0.0076735,           0.0076735
                  49,            0.038805,             0.11485,            0.003354,             0.46751,             0.36463,             0.35152,             0.16209,            0.052694,             0.21246,            0.016948,            0.007624,            0.007624,            0.007624
                  50,            0.038818,             0.11501,           0.0033555,             0.46725,             0.36404,             0.35104,             0.16171,            0.052715,             0.21262,            0.016979,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038773,             0.11445,           0.0033049,             0.46401,             0.36451,             0.35018,             0.16149,             0.05272,             0.21281,            0.017004,            0.007525,            0.007525,            0.007525
                  52,            0.038585,             0.11428,           0.0033221,             0.46205,             0.36417,             0.34969,             0.16126,            0.052743,             0.21301,            0.017049,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038561,             0.11394,           0.0033025,              0.4587,             0.36632,             0.34931,             0.16115,            0.052768,             0.21307,            0.017059,            0.007426,            0.007426,            0.007426
                  54,            0.038562,             0.11384,           0.0032913,             0.45815,             0.36651,             0.34893,             0.16096,            0.052797,             0.21328,            0.017073,           0.0073765,           0.0073765,           0.0073765
                  55,            0.038492,               0.114,           0.0032993,              0.4588,             0.36639,             0.34866,              0.1608,            0.052819,             0.21345,            0.017114,            0.007327,            0.007327,            0.007327
