               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045408,             0.13088,           0.0080977,             0.26977,             0.24601,             0.19657,            0.089384,            0.055322,             0.20226,            0.045673,           0.0082675,           0.0082675,           0.0082675
                  37,            0.045375,             0.13056,           0.0080773,             0.26445,              0.2486,             0.19594,             0.08908,            0.055302,             0.20263,            0.045611,            0.008218,            0.008218,            0.008218
                  38,            0.045254,             0.13119,           0.0080222,             0.27261,             0.24514,             0.19698,            0.089709,            0.055288,             0.20294,            0.045722,           0.0081685,           0.0081685,           0.0081685
                  39,            0.045292,             0.13099,           0.0080204,             0.27157,             0.24557,             0.19691,            0.089845,            0.055282,             0.20319,             0.04577,            0.008119,            0.008119,            0.008119
                  40,             0.04504,             0.13085,           0.0079445,             0.27101,              0.2451,             0.19638,            0.089685,            0.055275,             0.20351,              0.0459,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045057,             0.13008,           0.0079369,             0.27244,             0.24264,             0.19574,            0.089358,            0.055266,             0.20376,            0.046148,             0.00802,             0.00802,             0.00802
                  42,            0.044983,             0.13019,           0.0079269,             0.27381,             0.24258,             0.19555,             0.08933,            0.055257,              0.2038,            0.046382,           0.0079705,           0.0079705,           0.0079705
                  43,            0.045093,             0.13038,           0.0078255,             0.27524,             0.24101,             0.19542,            0.089402,            0.055224,              0.2038,             0.04648,            0.007921,            0.007921,            0.007921
                  44,            0.045055,             0.13006,           0.0078708,             0.27362,             0.24124,             0.19465,            0.088945,            0.055234,             0.20392,            0.046544,           0.0078715,           0.0078715,           0.0078715
                  45,            0.044772,             0.12938,           0.0078154,             0.27228,             0.24145,             0.19422,            0.088728,            0.055234,             0.20398,            0.046607,            0.007822,            0.007822,            0.007822
                  46,            0.044811,              0.1298,           0.0078132,             0.27072,             0.24021,             0.19366,            0.088561,            0.055214,             0.20412,            0.046698,           0.0077725,           0.0077725,           0.0077725
                  47,            0.044853,             0.12955,           0.0078033,             0.27089,             0.23924,             0.19336,            0.088454,            0.055207,             0.20431,            0.046799,            0.007723,            0.007723,            0.007723
                  48,            0.044792,             0.12944,           0.0077228,             0.27092,             0.23955,             0.19357,            0.088449,            0.055183,             0.20431,            0.046871,           0.0076735,           0.0076735,           0.0076735
