               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040079,              0.1173,           0.0055655,             0.32836,             0.27419,             0.22992,             0.10789,            0.052765,             0.21161,             0.05078,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04008,             0.11705,           0.0055781,              0.3303,             0.27463,             0.22984,             0.10772,            0.052698,             0.21205,            0.050895,            0.008218,            0.008218,            0.008218
                  38,            0.039936,             0.11745,           0.0055114,             0.33414,             0.27127,              0.2299,             0.10812,            0.052723,             0.21212,            0.050879,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039944,             0.11731,           0.0055423,             0.34131,             0.26873,             0.22995,              0.1083,            0.052712,             0.21211,            0.050898,            0.008119,            0.008119,            0.008119
                  40,            0.039739,             0.11714,           0.0054724,             0.33376,             0.27501,             0.22933,             0.10807,            0.052716,             0.21253,            0.050982,           0.0080695,           0.0080695,           0.0080695
                  41,             0.03969,             0.11632,           0.0054655,             0.32911,             0.27698,             0.22877,             0.10775,            0.052705,              0.2129,            0.051149,             0.00802,             0.00802,             0.00802
                  42,            0.039611,             0.11635,           0.0054746,              0.3279,             0.27693,             0.22832,              0.1076,            0.052708,             0.21287,            0.051317,           0.0079705,           0.0079705,           0.0079705
                  43,              0.0397,             0.11649,             0.00542,             0.32619,               0.277,             0.22819,             0.10745,            0.052703,               0.213,            0.051461,            0.007921,            0.007921,            0.007921
                  44,            0.039668,             0.11624,           0.0054325,             0.32297,              0.2792,             0.22797,              0.1073,            0.052722,             0.21336,            0.051433,           0.0078715,           0.0078715,           0.0078715
                  45,            0.039386,             0.11554,            0.005387,             0.32626,             0.27761,             0.22755,             0.10712,            0.052735,             0.21349,            0.051484,            0.007822,            0.007822,            0.007822
                  46,            0.039401,             0.11586,           0.0054305,             0.32494,             0.27927,             0.22777,             0.10717,            0.052723,             0.21353,            0.051517,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039423,             0.11549,           0.0053592,             0.32433,             0.28033,             0.22754,               0.107,            0.052725,             0.21369,            0.051589,            0.007723,            0.007723,            0.007723
                  48,            0.039377,             0.11542,           0.0053172,             0.32471,             0.27977,             0.22747,             0.10694,            0.052737,             0.21374,             0.05168,           0.0076735,           0.0076735,           0.0076735
                  49,            0.039282,             0.11536,           0.0053388,             0.32301,             0.27944,             0.22714,              0.1068,            0.052744,             0.21387,            0.051765,            0.007624,            0.007624,            0.007624
                  50,            0.039301,             0.11558,           0.0053425,             0.32198,             0.28035,             0.22731,             0.10675,             0.05276,             0.21405,            0.051786,           0.0075745,           0.0075745,           0.0075745
                  51,            0.039246,             0.11496,           0.0053038,             0.32276,             0.27922,              0.2269,             0.10666,            0.052775,             0.21427,            0.051841,            0.007525,            0.007525,            0.007525
                  52,            0.039073,             0.11487,           0.0052761,             0.32188,             0.27905,             0.22667,             0.10654,            0.052789,             0.21445,            0.051872,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038994,             0.11438,           0.0052591,              0.3204,             0.27956,             0.22631,             0.10628,            0.052804,             0.21468,            0.051949,            0.007426,            0.007426,            0.007426
                  54,            0.038997,             0.11435,           0.0052398,             0.32489,             0.27672,             0.22625,             0.10634,            0.052826,             0.21493,             0.05198,           0.0073765,           0.0073765,           0.0073765
                  55,            0.038921,             0.11451,           0.0052291,             0.32291,              0.2769,             0.22604,             0.10623,             0.05282,             0.21519,            0.052024,            0.007327,            0.007327,            0.007327
