seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.4449229857494719,0.819589873804691,0.364654373743216,0.4449229857494719,0.4447160535366495,0.44413397780194075,0.4436343451629856,0.44279890182911186,0.4421416027972942,0.4409990927807775,0.43744524430287274,0.4357791526344213,0.43363489818118767,0.43025300160156416,0.4243865359791141,0.4145872021767737,0.3998495987002148,0.3639554521437364,0.3016956969649114,0.21844394596254882,0.11121621818147488,0.025589527498593462,0.3736938649466129,0.41744298104722133,0.4163813396105286,0.41516998075689543,0.41456507800812137,0.4138096763857738,0.41313050440352284,0.41177411614141735,0.4087692225828766,0.40659866114121773,0.40361573534089706,0.3982782296398014,0.3894720268709982,0.375967985031963,0.35242133224356353,0.312527886569828,0.25070861678004536,0.16388974370246626,0.07408008438476206,0.013513513513513514,0.3395850902187059,0.4742119816019421,0.4749789422796969,0.4751186246138502,0.47474194679836373,0.47381895264885127,0.47318993596565145,0.4722982630765398,0.468132949330359,0.4670538494587369,0.4658867542956162,0.46479478819260095,0.46243098218708867,0.457173363296219,0.4536606809891622,0.42384560494429774,0.3630521149857352,0.29115767985041324,0.16696858932214825,0.04845696990249405,0.4132091038810404,0.4196221947150315,0.41886873688176096,0.418007642215166,0.41757709488186856,0.41703891071524674,0.4165545449652871,0.4155858134653678,0.4134330767988806,0.4118723427156773,0.40971960604919005,0.40584468004951296,0.3993864700500511,0.38932242613422313,0.3712932565523922,0.33927129863839406,0.2856143372261988,0.20063505731661374,0.09827242882514396,0.018997901081750174,0.3508904115409346,0.9877121864707372,0.9859386876108437,0.9839118317709653,0.9828984038510261,0.9816316189511021,0.9804915125411705,0.9782112997213073,0.9731441601216113,0.9694704839118318,0.9644033443121358,0.9552824930326831,0.9400810742335951,0.9163921966050165,0.8739549024575627,0.7985812009120852,0.672282746389663,0.47225741069166455,0.2313149227261211,0.04471750696731695,0.8259304201725494,0.4784965068014921,0.4792604082022006,0.47913181524215004,0.47890122419076553,0.47835756933170526,0.4778820825009393,0.4773094428217075,0.4747453826378819,0.47412781233192886,0.47341034983112235,0.47310423539670293,0.47212086587831875,0.4700579874282252,0.4706370418711921,0.4540323522730655,0.4120956971810963,0.35816181460574814,0.23593461390070794,0.07388918244525132,0.4311398097301159,0.9486726105434361,0.949814710005609,0.9504937429418014,0.9503865758464538,0.950080138020192,0.9496125275269283,0.9479628802236546,0.9441701350284477,0.9434489873640071,0.9405074516527968,0.9361568804709387,0.9270056034865605,0.9139175472452267,0.8886689768241323,0.842769792998062,0.7544736794414361,0.61652421213697,0.3825371377748745,0.1379394037929718,0.835533841753921,0.819589873804691,0.8209247875352845,0.8223680040196624,0.8230265680855908,0.8237910454607229,0.8244322643657954,0.8255842887713136,0.8279294261361171,0.829455992355328,0.8312844460161128,0.8341868488106536,0.8383639054576527,0.8438315205714848,0.8519070431556066,0.863675531740597,0.8797943734004985,0.9024136552335743,0.9307069094915029,0.9616952085782716,0.85026114173634,0.44608280899399283,0.446042407847204,0.44564920739001435,0.44524303808439647,0.44452327260663865,0.443970064822309,0.443035504061406,0.4399336831757541,0.43859612760596195,0.43690151914766295,0.4343207249288333,0.4297542060497831,0.4218860544773038,0.4104158276848518,0.3792079229283423,0.32201380281009767,0.2416949270981084,0.1280953114294021,0.030341073167060643,0.3804056570689013,7797.0,7783.0,7767.0,7759.0,7749.0,7740.0,7722.0,7682.0,7653.0,7613.0,7541.0,7421.0,7234.0,6899.0,6304.0,5307.0,3728.0,1826.0,353.0,6519.894736842105,10784.0,10798.0,10814.0,10822.0,10832.0,10841.0,10859.0,10899.0,10928.0,10968.0,11040.0,11160.0,11347.0,11682.0,12277.0,13274.0,14853.0,16755.0,18228.0,12061.105263157895,97.0,111.0,127.0,135.0,145.0,154.0,172.0,212.0,241.0,281.0,353.0,473.0,660.0,995.0,1590.0,2587.0,4166.0,6068.0,7541.0,1374.1052631578948,0.3964264571336311,0.8287084749427504,0.4000861094666595,0.4124643452989613,0.9708639473017482,0.16129032258064516,0.43548387096774194,0.4032258064516129,0.325774810395632,0.578961284230406,0.38333333333333336,0.3999874867384583,6351.221751961239,7664,10917,230,68,10,27,25,203.0,600,0.47765816808309725,0.3402938485549755,0.8009880922219407,6323,12258,1571,7894,18581,89,62
MOT17-04-DPM,0.7975267342719662,0.7711722193507401,0.6150304616600601,0.7975267342719662,0.7963289395298409,0.7906024558669497,0.7762353072270114,0.7628532724895332,0.7481868912027934,0.7340421306099427,0.7183672053760398,0.6941379118836537,0.669253644247282,0.6409534695442538,0.6240819909730883,0.6079395561448281,0.5838312877488295,0.5488299075630005,0.4894529152511444,0.3802768614549284,0.2163159612434303,0.04198997693702211,0.6116424431350284,0.8167988585337194,0.8145904937547154,0.8050951695957638,0.7862521403668021,0.765743535361775,0.7454893659913315,0.726451587174988,0.7057050549623735,0.6772562617437964,0.64920668177749,0.6052987744961714,0.5771689830415855,0.554879143770427,0.521063171948563,0.47484158888056144,0.4002813985833037,0.2939163441278001,0.14976031444620022,0.024747319336284233,0.5839234835733501,0.7787093300060604,0.77847677427435,0.7763706289986677,0.7663460882977252,0.7599739187782373,0.7508941773077011,0.7417119860742949,0.7312565470957212,0.7114403630223984,0.6899196402476053,0.6787083791186747,0.6748081461419619,0.666073879465333,0.6541605527018607,0.6343468526961255,0.5984893554777255,0.4920124186599557,0.3124498987712728,0.0712464303390843,0.6456523877618293,0.8185335492146266,0.8173139600899972,0.81203608301617,0.8013962192737136,0.7895577938053283,0.77759320394474,0.7660912168555628,0.7532645036482537,0.7351599133671174,0.7166978573080725,0.6865025127741448,0.6662741552242573,0.6497255924469584,0.623693672855731,0.586180793574027,0.5204491452362429,0.41356687764156697,0.23714700254431526,0.043968290682759634,0.6429027549212414,0.9974121143794199,0.9959260018448294,0.9894947217382392,0.976529671005432,0.962104130367941,0.9475248539510095,0.9335092753920262,0.9178794711489188,0.8958183867992211,0.8733217177411089,0.8365276211950394,0.8118786512247617,0.7917136414881624,0.7599928256636261,0.7142820539100133,0.634185712821564,0.503945885005637,0.2889720200881418,0.053576919134980014,0.7833997723631616,0.8023699307757282,0.8024766878125353,0.8021382813450427,0.7958686556875405,0.7918547776808883,0.7860216893312849,0.7802644764499616,0.7740962458440703,0.7618892459131754,0.7475521684017045,0.7383566066166893,0.7361589707521368,0.7315411126596255,0.7257759444609645,0.715206443148997,0.6944049715411106,0.6124599442031446,0.4425472021611945,0.12597792173034197,0.7035242777113757,0.9358348662872056,0.9351278835488234,0.9327723901995152,0.923750549561575,0.9192059540341275,0.9118217739822907,0.9047533838383073,0.8972264814723139,0.8833456231393387,0.8682996266836814,0.8603106992032443,0.8579412946802301,0.8504997434608086,0.8360792861999948,0.8114105730866551,0.7650095702937856,0.6608254908766235,0.4691508600521632,0.13543066048104765,0.8083577216358806,0.7711722193507401,0.7722019573481804,0.7763989847856015,0.7843335285669073,0.7927869686706723,0.8007208584709355,0.8078611124109704,0.8152145322674482,0.8247936416593745,0.8338063826744794,0.84734897336066,0.8557152088686845,0.861580256604444,0.8692364840751332,0.8782938555983653,0.8911280517507858,0.9075360437206609,0.9306753851588676,0.9623278478010227,0.8412174891128386,0.7983731656915859,0.7976590344378078,0.7940031262790331,0.78367522470536,0.7746246385573692,0.7641270896625411,0.7538030498532179,0.7421789541529686,0.7232029007446091,0.7031812909059902,0.6825943214720124,0.6705275740110789,0.6578489537493067,0.6387454874611315,0.6097884399647153,0.558106865655111,0.4510876187018142,0.2722068275023279,0.055969489539014414,0.6437738975287893,38927.0,38869.0,38618.0,38112.0,37549.0,36980.0,36433.0,35823.0,34962.0,34084.0,32648.0,31686.0,30899.0,29661.0,27877.0,24751.0,19668.0,11278.0,2091.0,30574.526315789473,8630.0,8688.0,8939.0,9445.0,10008.0,10577.0,11124.0,11734.0,12595.0,13473.0,14909.0,15871.0,16658.0,17896.0,19680.0,22806.0,27889.0,36279.0,45466.0,16982.473684210527,101.0,159.0,410.0,916.0,1479.0,2048.0,2595.0,3205.0,4066.0,4944.0,6380.0,7342.0,8129.0,9367.0,11151.0,14277.0,19360.0,27750.0,36937.0,8453.473684210527,0.6347540845721976,0.8330756305956994,0.6357003175137204,0.7281788169985491,0.8873116736701855,0.46987951807228917,0.3373493975903614,0.1927710843373494,0.5132032947311452,0.7999076052434024,4.188571428571429,0.6356655547550566,28849.40908752907,34630,12927,4398,45,39,28,16,251.0,1050,0.7221343188774038,0.6573795655739428,0.8010402787742134,31263,16294,7765,39028,47557,109,83
COMBINED,0.7160284277343248,0.779251845490999,0.5579664737359911,0.7160284277343248,0.7150626007944635,0.710646735215825,0.6996586075060303,0.689426522827551,0.6781699623419196,0.6671610287418249,0.6544638405611525,0.6354754927449485,0.615805453789406,0.5934450095072081,0.5792520957049233,0.564641275559376,0.5427220330169161,0.50799725046803,0.44908909478606074,0.34645291541371265,0.19571356543763888,0.03874822208126562,0.5578926386438199,0.7043535938253739,0.7025057222021444,0.6956880389951257,0.6827159207608389,0.6684867624922523,0.6543751829089844,0.6408098106088093,0.6254762418230178,0.6049400241323017,0.584294382242899,0.5515088306733817,0.5288088380457858,0.5089353637540539,0.4779084967320261,0.4333346010978841,0.36213585214814104,0.26092969307637404,0.13109768298051142,0.02209445288204238,0.517915762704313,0.7278967748843475,0.727843926241803,0.7259270735808199,0.7170217541019687,0.711022202752439,0.7028299816908079,0.6945958549682217,0.6847948650354174,0.6675522957150489,0.6490159214967961,0.6385699733565625,0.6345071531302475,0.6264445208004661,0.6163255249407582,0.5955241188431802,0.5569208733667735,0.46000752610216916,0.292177549026607,0.06795482660172081,0.6051017219282188,0.7064622456076688,0.7053736127491004,0.701336599231909,0.6935649702137954,0.6849012670476882,0.6761619643775136,0.6676192204179141,0.6577912848891712,0.6443345731652,0.6304545042184523,0.6076536937917687,0.5912939611116151,0.5765671777193142,0.5527835737397563,0.5168133297045572,0.45447397865070005,0.35374519943149174,0.1981311802594575,0.036953037588073424,0.5608639670481657,0.9957802310216955,0.9942457695750394,0.9885554750436896,0.9776011252717276,0.965389369592089,0.953071054089766,0.9410297941264226,0.9271770171774434,0.9082093687396104,0.8886449852947444,0.8565065427731128,0.8334469971441968,0.8126891436852649,0.7791654234687353,0.7284642598354716,0.64059503004987,0.49861472230510206,0.2792719832914198,0.05208644132816163,0.7905549859901875,0.7483240210349714,0.7485541913663544,0.7480520202213784,0.7422541650293146,0.7382257020594962,0.7326898343029558,0.7272825090696563,0.7212376472657474,0.7102117086329389,0.6974996067119463,0.6885850738248828,0.6860547240375179,0.681936598776009,0.6776303402769699,0.6670381195516221,0.6445608262543785,0.5719391959068933,0.41375640651378537,0.11845446634260177,0.6560151135357589,0.9379771463138692,0.9375781015526209,0.9357397664364309,0.928255987157101,0.9244875128603012,0.9183624813265548,0.9123100304488304,0.9055156699935923,0.8941392649652542,0.8814832651106637,0.8745423559486145,0.8710470362521169,0.8625303833941074,0.8460031449422247,0.8171941523359898,0.7631493675938914,0.6537663710637739,0.4570815181047938,0.13579301170408742,0.8135240298686747,0.779251845490999,0.7803304360274702,0.7840963303152114,0.7908783890152399,0.7980907478893156,0.804824755645046,0.8109606111733885,0.8174596952303057,0.8256309282926287,0.8333459297934532,0.844879253257358,0.8524226008288639,0.8582132423002343,0.8659663579016152,0.8755977989119204,0.8891269927646598,0.9067198245259328,0.9306797779726185,0.9622364723322702,0.8426690520878175,0.7170994283607929,0.7165206903995658,0.7135259105845729,0.7051958391300782,0.6978395285194038,0.6893670292692192,0.6809739666091492,0.6711572797468219,0.6558406998082731,0.6396678911881888,0.6229200615284649,0.6125195898320626,0.6009886432834259,0.5836905226777146,0.554774551307751,0.503096457066257,0.40339243183406276,0.24060233297696254,0.050111248853968914,0.5820675843671965,46724.0,46652.0,46385.0,45871.0,45298.0,44720.0,44155.0,43505.0,42615.0,41697.0,40189.0,39107.0,38133.0,36560.0,34181.0,30058.0,23396.0,13104.0,2444.0,37094.42105263158,19414.0,19486.0,19753.0,20267.0,20840.0,21418.0,21983.0,22633.0,23523.0,24441.0,25949.0,27031.0,28005.0,29578.0,31957.0,36080.0,42742.0,53034.0,63694.0,29043.57894736842,198.0,270.0,537.0,1051.0,1624.0,2202.0,2767.0,3417.0,4307.0,5225.0,6733.0,7815.0,8789.0,10362.0,12741.0,16864.0,23526.0,33818.0,44478.0,9827.578947368422,0.5677976352475128,0.8322842682056629,0.5695061840394327,0.6394810850040824,0.9013682281232684,0.33793103448275863,0.3793103448275862,0.2827586206896552,0.46054659710741647,0.7481691137449142,2.8048484848484847,0.5694751416970051,35200.63083949031,42294,23844,4628,113,49,55,41,454.0,1650,0.6648859012913497,0.5682965919743567,0.8010314990835855,37586,28552,9336,46922,66138,198,145
