               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.032639,            0.058521,                   0,             0.94979,             0.89532,             0.96542,             0.75448,            0.026709,            0.046764,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032543,            0.057932,                   0,             0.94951,             0.89722,             0.96547,             0.75559,            0.026606,            0.046672,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.032418,            0.058022,                   0,             0.94773,             0.89793,             0.96666,             0.75499,            0.026551,            0.046661,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032311,            0.057707,                   0,             0.94711,             0.89848,              0.9661,             0.75708,            0.026486,            0.046519,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.03228,            0.058036,                   0,             0.94908,             0.89997,             0.96624,             0.75829,            0.026386,            0.046417,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032318,            0.057436,                   0,             0.94937,              0.8989,              0.9661,             0.75895,            0.026294,            0.046236,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.032085,            0.057104,                   0,             0.94888,             0.89914,             0.96627,             0.76055,            0.026213,            0.046024,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032208,            0.057075,                   0,             0.94821,             0.90076,             0.96646,             0.76149,            0.026141,            0.045964,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.032146,            0.057213,                   0,              0.9476,             0.90186,             0.96766,             0.76318,             0.02608,            0.045918,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032051,             0.05703,                   0,             0.94791,             0.90227,             0.96766,             0.76417,            0.026027,            0.045785,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.031922,            0.057242,                   0,              0.9462,             0.90297,             0.96854,             0.76566,             0.02599,            0.045609,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032034,            0.056947,                   0,             0.94744,             0.90328,             0.96876,             0.76603,            0.025947,            0.045503,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.032043,            0.056918,                   0,             0.94829,             0.90249,             0.96777,             0.76631,             0.02591,            0.045399,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031817,            0.056966,                   0,             0.94958,             0.90184,              0.9682,              0.7668,            0.025871,            0.045342,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.031964,            0.056405,                   0,             0.94841,             0.90181,             0.96803,              0.7678,            0.025835,            0.045281,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031758,            0.056552,                   0,             0.94994,             0.90246,             0.96877,             0.76808,            0.025816,             0.04522,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.031653,             0.05649,                   0,             0.95002,             0.90214,             0.96818,             0.76842,            0.025781,            0.045164,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031669,            0.056401,                   0,             0.95013,             0.90243,             0.96833,             0.76938,            0.025732,            0.045096,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.031588,            0.056252,                   0,             0.95029,             0.90189,             0.96825,             0.76993,            0.025681,            0.045023,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031657,            0.056533,                   0,             0.95153,             0.90226,             0.96897,             0.77046,            0.025648,            0.044966,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.031517,            0.056251,                   0,             0.95159,             0.90268,             0.96923,             0.77082,            0.025624,            0.044923,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031588,            0.055989,                   0,             0.95074,             0.90284,             0.96916,             0.77162,            0.025594,            0.044876,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.031515,            0.056255,                   0,             0.95143,             0.90323,             0.96929,             0.77192,            0.025568,            0.044833,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.031365,            0.055902,                   0,              0.9511,             0.90324,             0.96939,             0.77219,            0.025546,            0.044802,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.031418,            0.056095,                   0,             0.95141,             0.90337,             0.96954,              0.7726,            0.025526,            0.044765,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,             0.03134,            0.055994,                   0,             0.95182,             0.90282,             0.96932,             0.77312,            0.025505,            0.044717,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.031208,            0.055793,                   0,             0.95189,             0.90284,             0.96925,             0.77356,            0.025482,             0.04468,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031188,            0.055698,                   0,             0.95125,             0.90324,             0.96913,             0.77379,            0.025459,            0.044631,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.031221,            0.055681,                   0,             0.95117,              0.9039,             0.96943,             0.77426,            0.025438,             0.04459,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.031358,             0.05559,                   0,             0.95134,              0.9034,             0.96945,             0.77457,            0.025413,            0.044549,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.031179,            0.055568,                   0,             0.95083,             0.90409,              0.9695,             0.77458,            0.025395,            0.044508,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031086,            0.055072,                   0,             0.95152,             0.90355,             0.96969,              0.7748,            0.025374,            0.044474,                   0,            0.006634,            0.006634,            0.006634
                  70,              0.0311,            0.055327,                   0,             0.95215,             0.90337,             0.96973,             0.77501,             0.02535,            0.044439,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031133,            0.055522,                   0,             0.95146,             0.90383,             0.96979,              0.7751,            0.025327,            0.044412,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.030972,            0.055401,                   0,             0.95139,             0.90381,             0.96974,             0.77544,            0.025311,            0.044378,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.030986,            0.055034,                   0,             0.95101,             0.90401,              0.9697,             0.77553,            0.025292,            0.044345,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.031028,            0.055143,                   0,             0.95132,             0.90416,              0.9698,             0.77582,            0.025275,            0.044317,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.030827,             0.05514,                   0,             0.95153,             0.90389,             0.96988,             0.77621,            0.025257,            0.044285,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.030798,            0.054867,                   0,             0.95171,             0.90403,             0.97012,             0.77635,            0.025238,            0.044251,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              0.0308,            0.054926,                   0,             0.95183,             0.90453,             0.97031,             0.77671,            0.025221,            0.044223,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.030917,            0.055071,                   0,             0.95132,             0.90451,             0.97044,             0.77702,            0.025205,            0.044193,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.030678,            0.054976,                   0,             0.95169,             0.90425,             0.97054,              0.7774,             0.02519,            0.044166,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.030625,            0.054705,                   0,             0.95191,             0.90444,             0.97066,             0.77793,            0.025173,            0.044138,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.030695,            0.054389,                   0,             0.95206,             0.90431,             0.97073,             0.77825,            0.025156,            0.044108,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.030682,            0.054371,                   0,             0.95172,              0.9044,             0.97112,             0.77865,            0.025138,            0.044078,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.030841,            0.054847,                   0,             0.95203,             0.90459,             0.97125,             0.77899,            0.025122,            0.044051,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.030581,            0.054598,                   0,             0.95222,             0.90442,             0.97127,             0.77925,            0.025106,            0.044027,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030594,            0.054584,                   0,             0.95249,             0.90442,             0.97128,             0.77953,            0.025091,            0.043996,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.030615,            0.054625,                   0,             0.95273,             0.90456,             0.97134,             0.77969,            0.025071,            0.043967,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.030542,            0.054411,                   0,             0.95246,              0.9053,             0.97144,             0.78002,            0.025053,            0.043932,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.030493,            0.054294,                   0,             0.95256,             0.90529,             0.97156,             0.78024,            0.025037,            0.043905,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.030467,            0.054288,                   0,             0.95267,             0.90521,             0.97156,              0.7805,            0.025017,            0.043875,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.030336,             0.05406,                   0,             0.95259,              0.9056,             0.97166,             0.78061,               0.025,            0.043845,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.030264,            0.054135,                   0,             0.95301,             0.90554,              0.9717,             0.78087,            0.024981,            0.043814,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.030334,            0.053869,                   0,             0.95285,             0.90572,             0.97172,             0.78117,            0.024964,            0.043775,                   0,           0.0054955,           0.0054955,           0.0054955
